# PART B CONVERGENCE CALCULATIONS
# energy	r_max	r_min	abs	rel
-0.50095788	12.0	0.0800	1.00e-4	0e0
-0.50070481	12.0	0.0721	1.00e-4	0e0
-0.50050020	12.0	0.0642	1.00e-4	0e0
-0.50033920	12.0	0.0563	1.00e-4	0e0
-0.50021673	12.0	0.0484	1.00e-4	0e0
-0.50012777	12.0	0.0405	1.00e-4	0e0
-0.50006697	12.0	0.0326	1.00e-4	0e0
-0.50002915	12.0	0.0247	1.00e-4	0e0
-0.50000906	12.0	0.0168	1.00e-4	0e0
-0.50000114	12.0	0.0089	1.00e-4	0e0
-0.49999990	12.0	0.0010	1.00e-4	0e0


-0.12498740	2.0	0.0010	1.00e-4	0e0
-0.42396083	3.0	0.0010	1.00e-4	0e0
-0.48326319	4.0	0.0010	1.00e-4	0e0
-0.49641691	5.0	0.0010	1.00e-4	0e0
-0.49927671	6.0	0.0010	1.00e-4	0e0
-0.49986228	7.0	0.0010	1.00e-4	0e0
-0.49997464	8.0	0.0010	1.00e-4	0e0
-0.49999559	9.0	0.0010	1.00e-4	0e0
-0.49999894	10.0	0.0010	1.00e-4	0e0
-0.49999957	11.0	0.0010	1.00e-4	0e0
-0.49999990	12.0	0.0010	1.00e-4	0e0


-0.49998244	12.0	0.0010	3.16e-3	0e0
-0.49998460	12.0	0.0010	2.66e-3	0e0
-0.49998895	12.0	0.0010	2.24e-3	0e0
-0.49999158	12.0	0.0010	1.88e-3	0e0
-0.49999146	12.0	0.0010	1.58e-3	0e0
-0.49999268	12.0	0.0010	1.33e-3	0e0
-0.49999615	12.0	0.0010	1.12e-3	0e0
-0.49999531	12.0	0.0010	9.44e-4	0e0
-0.49999620	12.0	0.0010	7.94e-4	0e0
-0.49999740	12.0	0.0010	6.68e-4	0e0
-0.49999728	12.0	0.0010	5.62e-4	0e0
-0.49999865	12.0	0.0010	4.73e-4	0e0
-0.49999823	12.0	0.0010	3.98e-4	0e0
-0.49999926	12.0	0.0010	3.35e-4	0e0
-0.49999886	12.0	0.0010	2.82e-4	0e0
-0.49999951	12.0	0.0010	2.37e-4	0e0
-0.49999927	12.0	0.0010	2.00e-4	0e0
-0.49999956	12.0	0.0010	1.68e-4	0e0
-0.49999957	12.0	0.0010	1.41e-4	0e0
-0.49999965	12.0	0.0010	1.19e-4	0e0
-0.49999990	12.0	0.0010	1.00e-4	0e0


# PART C CONVERGENCE CALCULATIONS
# energy	r_max	r_min	abs	rel
-0.50000043	5.0	0.0010	1.00e-4	0e0
-0.49999938	6.3	0.0010	1.00e-4	0e0
-0.49999953	7.7	0.0010	1.00e-4	0e0
-0.49999994	9.0	0.0010	1.00e-4	0e0
-0.49999968	10.3	0.0010	1.00e-4	0e0
-0.49999981	11.7	0.0010	1.00e-4	0e0
-0.49999977	13.0	0.0010	1.00e-4	0e0
-0.49999979	14.3	0.0010	1.00e-4	0e0
-0.49999991	15.7	0.0010	1.00e-4	0e0
-0.49999983	17.0	0.0010	1.00e-4	0e0
-0.49999986	18.3	0.0010	1.00e-4	0e0
-0.49999998	19.7	0.0010	1.00e-4	0e0
-0.49999989	21.0	0.0010	1.00e-4	0e0
-0.49999988	22.3	0.0010	1.00e-4	0e0
-0.49999992	23.7	0.0010	1.00e-4	0e0
-0.49999996	25.0	0.0010	1.00e-4	0e0


-0.07423394	5.0	0.0010	1.00e-4	0e0
-0.10739037	6.7	0.0010	1.00e-4	0e0
-0.11899613	8.3	0.0010	1.00e-4	0e0
-0.12302496	10.0	0.0010	1.00e-4	0e0
-0.12438489	11.7	0.0010	1.00e-4	0e0
-0.12481874	13.3	0.0010	1.00e-4	0e0
-0.12494899	15.0	0.0010	1.00e-4	0e0
-0.12498600	16.7	0.0010	1.00e-4	0e0
-0.12499617	18.3	0.0010	1.00e-4	0e0
-0.12499865	20.0	0.0010	1.00e-4	0e0
-0.12499935	21.7	0.0010	1.00e-4	0e0
-0.12499955	23.3	0.0010	1.00e-4	0e0
-0.12499962	25.0	0.0010	1.00e-4	0e0
-0.12499965	26.7	0.0010	1.00e-4	0e0
-0.12499969	28.3	0.0010	1.00e-4	0e0
-0.12499969	30.0	0.0010	1.00e-4	0e0


-0.07423065	5.0	0.0010	1.00e-4	0e0
-0.10738773	6.7	0.0010	1.00e-4	0e0
+0.08446288	8.3	0.0010	1.00e-4	0e0
-0.01104740	10.0	0.0010	1.00e-4	0e0
-0.02853446	11.7	0.0010	1.00e-4	0e0
-0.03980251	13.3	0.0010	1.00e-4	0e0
-0.04654598	15.0	0.0010	1.00e-4	0e0
-0.05049402	16.7	0.0010	1.00e-4	0e0
-0.05277021	18.3	0.0010	1.00e-4	0e0
-0.05405576	20.0	0.0010	1.00e-4	0e0
-0.05476929	21.7	0.0010	1.00e-4	0e0
-0.05515398	23.3	0.0010	1.00e-4	0e0
-0.05535640	25.0	0.0010	1.00e-4	0e0
-0.05545909	26.7	0.0010	1.00e-4	0e0
-0.05550999	28.3	0.0010	1.00e-4	0e0
-0.05553448	30.0	0.0010	1.00e-4	0e0


